Date,Player,Metric,Line,Side,Grade,Units,Result,Proj
2026-04-12,latto,Headshots,14.5,Over,A+,2.0,Pending,16.2
2026-04-13,st0m4k,Kills,30.5,Over,A,1.0,Lost,
2026-04-13,makazze,Kills,32.5,Over,A+,2.0,Pending
2026-04-13,makazze,Kills,32.5,Over,B,0.5,Pending
